time-0              cntrlvar-21         cntrlvar-22         cntrlvar-23         p-150030000          
545.0136            4.076632            3.81945             5.53737             15488290.0           
550.0313            4.076632            3.81945             5.53737             15488280.0           
555.0146            4.076632            3.81945             5.53737             15488280.0           
560.0323            4.076632            3.81945             5.53737             15488270.0           
565.0157            4.076632            3.81945             5.53737             15488260.0           
570.0334            4.076632            3.81945             5.53737             15488250.0           
575.0167            4.076632            3.81945             5.53737             15488240.0           
580.0001            4.076632            3.81945             5.53737             15488230.0           
585.0178            4.076632            3.81945             5.53737             15488230.0           
590.0011            4.076632            3.81945             5.53737             15488220.0           
595.0188            4.076632            3.81945             5.53737             15488210.0           
600.0021            4.076632            3.81945             5.53737             15488200.0           
605.0198            4.076632            3.81945             5.53737             15488190.0           
610.0032            4.076632            3.81945             5.53737             15488190.0           
615.0209            4.076632            3.81945             5.53737             15488200.0           
620.0042            4.076632            3.81945             5.53737             15488200.0           
625.022             4.076632            3.81945             5.53737             15488190.0           
630.0053            4.076632            3.81945             5.53737             15488190.0           
635.023             4.076632            3.81945             5.53737             15488190.0           
640.0063            4.076632            3.81945             5.53737             15488190.0           
645.024             4.076632            3.81945             5.53737             15488190.0           
650.0074            4.076632            3.81945             5.53737             15488200.0           
655.0251            4.076632            3.81945             5.53737             15488200.0           
660.0084            4.076632            3.81945             5.53737             15488210.0           
665.0261            4.076632            3.81945             5.53737             15488210.0           
670.0095            4.076632            3.81945             5.53737             15488220.0           
675.0272            4.076632            3.81945             5.53737             15488220.0           
680.0105            4.076632            3.81945             5.53737             15488230.0           
685.0282            4.076632            3.81945             5.53737             15488230.0           
690.0115            4.076632            3.81945             5.53737             15488230.0           
695.0292            4.076632            3.81945             5.53737             15488220.0           
700.0126            4.076632            3.81945             5.53737             15488200.0           
705.0303            4.076632            3.81945             5.53737             15488200.0           
710.0136            4.076632            3.81945             5.53737             15488200.0           
715.0313            4.076632            3.81945             5.53737             15488200.0           
720.0146            4.076632            3.81945             5.53737             15488200.0           
725.0323            4.076632            3.81945             5.53737             15488170.0           
730.0157            4.076632            3.81945             5.53737             15488140.0           
735.0334            4.076632            3.81945             5.53737             15488110.0           
740.0167            4.076632            3.81945             5.53737             15488090.0           
745.0001            4.076632            3.81945             5.53737             15488060.0           
750.0178            4.076632            3.81945             5.53737             15488040.0           
755.0011            4.076632            3.81945             5.53737             15488010.0           
760.0188            4.076632            3.81945             5.53737             15487990.0           
765.0021            4.076632            3.81945             5.53737             15487960.0           
770.0199            4.076632            3.81945             5.53737             15487940.0           
775.0032            4.076632            3.81945             5.53737             15487920.0           
780.0209            4.076632            3.81945             5.53737             15487900.0           
785.0043            4.076632            3.81945             5.53737             15487870.0           
790.022             4.076632            3.81945             5.53737             15487850.0           
795.0053            4.076632            3.81945             5.53737             15487830.0           
800.023             4.076632            3.81945             5.53737             15487810.0           
805.0063            4.076632            3.81945             5.53737             15487790.0           
810.024             4.076632            3.81945             5.53737             15487770.0           
815.0074            4.076632            3.81945             5.53737             15487740.0           
820.0251            4.076632            3.81945             5.53737             15487730.0           
825.0084            4.076632            3.81945             5.53737             15487700.0           
830.0261            4.076632            3.81945             5.53737             15487690.0           
835.0095            4.076632            3.81945             5.53737             15487660.0           
840.0272            4.076632            3.81945             5.53737             15487650.0           
845.0105            4.076632            3.81945             5.53737             15487630.0           
850.0282            4.076632            3.81945             5.53737             15487610.0           
855.0115            4.076632            3.81945             5.53737             15487610.0           
860.0292            4.076632            3.81945             5.53737             15487590.0           
865.0126            4.076632            3.81945             5.53737             15487580.0           
870.0303            4.076632            3.81945             5.53737             15487570.0           
875.0136            4.076632            3.81945             5.53737             15487560.0           
880.0313            4.076632            3.81945             5.53737             15487550.0           
885.0146            4.076632            3.81945             5.53737             15487540.0           
890.0323            4.076632            3.81945             5.53737             15487530.0           
895.0157            4.076632            3.81945             5.53737             15487520.0           
900.0334            4.076632            3.81945             5.53737             15487510.0           
905.0168            4.076632            3.81945             5.53737             15487510.0           
910.0001            4.076632            3.81945             5.53737             15487500.0           
915.0178            4.076632            3.81945             5.53737             15487490.0           
920.0012            4.076632            3.81945             5.53737             15487490.0           
925.0189            4.076632            3.81945             5.53737             15487480.0           
930.0022            4.076632            3.81945             5.53737             15487480.0           
935.0199            4.076632            3.81945             5.53737             15487480.0           
940.0032            4.076632            3.81945             5.53737             15487480.0           
945.0209            4.076632            3.81945             5.53737             15487480.0           
950.0043            4.076632            3.81945             5.53737             15487480.0           
955.022             4.076632            3.81945             5.53737             15487470.0           
960.0053            4.076632            3.81945             5.53737             15487480.0           
965.023             4.076632            3.81945             5.53737             15487480.0           
970.0063            4.076632            3.81945             5.53737             15487480.0           
975.024             4.076632            3.81945             5.53737             15487480.0           
980.0074            4.076632            3.81945             5.53737             15487490.0           
985.0251            4.076632            3.81945             5.53737             15487490.0           
990.0084            4.076632            3.81945             5.53737             15487500.0           
995.0261            4.076632            3.81945             5.53737             15487500.0           
1000.009            4.076632            3.81945             5.53737             15487500.0           
1005.008            4.076632            3.81945             5.53737             14445350.0           
1010.007            4.076632            3.81945             5.53737             13729600.0           
1015.03             4.076632            3.81945             5.53737             13182320.0           
1020.016            4.076632            3.81945             5.53737             12728320.0           
1025.003            4.076632            3.81945             5.53737             12469320.0           
1030.019            4.076632            3.81945             5.53737             12452590.0           
1035.002            4.076632            3.81945             5.53737             12510380.0           
1040.018            4.076632            3.81945             5.53737             12545680.0           
1045.033            4.076632            3.81945             5.53737             12565870.0           
1050.014            4.076632            3.81945             5.53737             12587180.0           
1055.029            4.076632            3.81945             5.53737             12604430.0           
1060.01             4.076632            3.81945             5.53737             12625600.0           
1065.025            4.076632            3.81945             5.53737             12652360.0           
1070.006            4.076632            3.81945             5.53737             12690740.0           
1075.023            4.076632            3.81945             5.53737             12666770.0           
1080.007            4.076632            3.81945             5.53737             12430790.0           
1085.021            4.076632            3.81945             5.53737             12265400.0           
1090.003            4.076632            3.81945             5.53737             12267910.0           
1095.019            4.076632            3.81945             5.53737             12313480.0           
1100.0              4.076632            3.81945             5.53737             12359010.0           
1105.016            4.076632            3.81945             5.53737             12403700.0           
1110.031            4.076632            3.81945             5.53737             12433040.0           
1115.012            4.076632            3.81945             5.53737             12462300.0           
1120.027            4.076632            3.81945             5.53737             12492160.0           
1125.008            4.076632            3.81945             5.53737             12522780.0           
1130.023            4.076632            3.81945             5.53737             12559250.0           
1135.004            4.076632            3.81945             5.53737             12599330.0           
1140.019            4.076632            3.81945             5.53737             12647730.0           
1145.033            4.076632            3.81945             5.53737             12697340.0           
1150.014            4.076632            3.81945             5.53737             12747500.0           
1155.03             4.076632            3.81945             5.53737             12749520.0           
1160.015            4.076632            3.81945             5.53737             12497420.0           
1165.029            4.076632            3.81945             5.53737             12246400.0           
1170.01             4.076632            3.81945             5.53737             12190810.0           
1175.025            4.076632            3.81945             5.53737             12205020.0           
1180.006            4.076632            3.81945             5.53737             12235480.0           
1185.022            4.076632            3.81945             5.53737             12278320.0           
1190.003            4.076632            3.81945             5.53737             12319490.0           
1195.018            4.076632            3.81945             5.53737             12348380.0           
1200.033            4.076632            3.81945             5.53737             12377220.0           
1205.014            4.076632            3.81945             5.53737             12403560.0           
1210.029            4.076632            3.81945             5.53737             12428740.0           
1215.01             4.076632            3.81945             5.53737             12458620.0           
1220.025            4.076632            3.81945             5.53737             12492220.0           
1225.006            4.076632            3.81945             5.53737             12526370.0           
1230.021            4.076632            3.81945             5.53737             12561600.0           
1235.001            4.076632            3.81945             5.53737             12596540.0           
1240.016            4.076632            3.81945             5.53737             12632510.0           
1245.031            4.076632            3.81945             5.53737             12669040.0           
1250.012            4.076632            3.81945             5.53737             12705510.0           
1255.027            4.076632            3.81945             5.53737             12731250.0           
1260.012            4.076632            3.81945             5.53737             12518660.0           
1265.027            4.076632            3.81945             5.53737             12271650.0           
1270.007            4.076632            3.81945             5.53737             12159160.0           
1275.022            4.076632            3.81945             5.53737             12125400.0           
1280.003            4.076632            3.81945             5.53737             12141870.0           
1285.019            4.076632            3.81945             5.53737             12169720.0           
1290.034            4.076632            3.81945             5.53737             12196820.0           
1295.015            4.076632            3.81945             5.53737             12217890.0           
1300.03             4.076632            3.81945             5.53737             12233860.0           
1305.011            4.076632            3.81945             5.53737             12250730.0           
1310.026            4.076632            3.81945             5.53737             12266980.0           
1315.007            4.076632            3.81945             5.53737             12283880.0           
1320.022            4.076632            3.81945             5.53737             12302260.0           
1325.003            4.076632            3.81945             5.53737             12321260.0           
1330.018            4.076632            3.81945             5.53737             12341160.0           
1335.033            4.076632            3.81945             5.53737             12361660.0           
1340.013            4.076632            3.81945             5.53737             12383000.0           
1345.028            4.076632            3.81945             5.53737             12405320.0           
1350.009            4.076632            3.81945             5.53737             12427710.0           
1355.024            4.076632            3.81945             5.53737             12450370.0           
1360.005            4.076632            3.81945             5.53737             12476370.0           
1365.02             4.076632            3.81945             5.53737             12504360.0           
1370.0              4.076632            3.81945             5.53737             12532900.0           
1375.015            4.076632            3.81945             5.53737             12563070.0           
1380.03             4.076632            3.81945             5.53737             12594170.0           
1385.012            4.076632            3.81945             5.53737             12548970.0           
1390.03             4.076632            3.81945             5.53737             12206580.0           
1395.01             4.076632            3.81945             5.53737             12041450.0           
1400.026            4.076632            3.81945             5.53737             12045070.0           
1405.007            4.076632            3.81945             5.53737             12056360.0           
1410.022            4.076632            3.81945             5.53737             12064940.0           
1415.003            4.076632            3.81945             5.53737             12075280.0           
1420.018            4.076632            3.81945             5.53737             12086680.0           
1425.033            4.076632            3.81945             5.53737             12100460.0           
1430.014            4.076632            3.81945             5.53737             12113780.0           
1435.029            4.076632            3.81945             5.53737             12128690.0           
1440.01             4.076632            3.81945             5.53737             12143780.0           
1445.025            4.076632            3.81945             5.53737             12159260.0           
1450.006            4.076632            3.81945             5.53737             12175140.0           
1455.021            4.076632            3.81945             5.53737             12191320.0           
1460.001            4.076632            3.81945             5.53737             12208210.0           
1465.016            4.076632            3.81945             5.53737             12226240.0           
1470.031            4.076632            3.81945             5.53737             12245680.0           
1475.012            4.076632            3.81945             5.53737             12266180.0           
1480.027            4.076632            3.81945             5.53737             12287300.0           
1485.007            4.076632            3.81945             5.53737             12308840.0           
1490.022            4.076632            3.81945             5.53737             12330910.0           
1495.003            4.076632            3.81945             5.53737             12336700.0           
1500.018            4.076632            3.81945             5.53737             12353200.0           
1505.032            4.076632            3.81945             5.53737             12375130.0           
1510.013            4.076632            3.81945             5.53737             12397760.0           
1515.028            4.076632            3.81945             5.53737             12421070.0           
1520.008            4.076632            3.81945             5.53737             12444680.0           
1525.023            4.076632            3.81945             5.53737             12468930.0           
1530.006            4.076632            3.81945             5.53737             12316650.0           
1535.023            4.076632            3.81945             5.53737             12000720.0           
1540.003            4.076632            3.81945             5.53737             11937020.0           
1545.02             4.076632            3.81945             5.53737             11962700.0           
1550.0              4.076632            3.81945             5.53737             11974880.0           
1555.016            4.076632            3.81945             5.53737             12002190.0           
1560.031            4.076632            3.81945             5.53737             12017220.0           
1565.012            4.076632            3.81945             5.53737             12027330.0           
1570.027            4.076632            3.81945             5.53737             12041060.0           
1575.008            4.076632            3.81945             5.53737             12053340.0           
1580.023            4.076632            3.81945             5.53737             12066640.0           
1585.003            4.076632            3.81945             5.53737             12080870.0           
1590.018            4.076632            3.81945             5.53737             12095680.0           
1595.033            4.076632            3.81945             5.53737             12111280.0           
1600.014            4.076632            3.81945             5.53737             12127070.0           
1605.029            4.076632            3.81945             5.53737             12143900.0           
1610.01             4.076632            3.81945             5.53737             12161570.0           
1615.025            4.076632            3.81945             5.53737             12180810.0           
1620.005            4.076632            3.81945             5.53737             12200430.0           
1625.02             4.076632            3.81945             5.53737             12220600.0           
1630.001            4.076632            3.81945             5.53737             12241230.0           
1635.016            4.076632            3.81945             5.53737             12262600.0           
1640.031            4.076632            3.81945             5.53737             12284610.0           
1645.011            4.076632            3.81945             5.53737             12307560.0           
1650.026            4.076632            3.81945             5.53737             12331750.0           
1655.007            4.076632            3.81945             5.53737             12356230.0           
1660.021            4.076632            3.81945             5.53737             12381360.0           
1665.002            4.076632            3.81945             5.53737             12406940.0           
1670.017            4.076632            3.81945             5.53737             12433340.0           
1675.031            4.076632            3.81945             5.53737             12460990.0           
1680.012            4.076632            3.81945             5.53737             12489160.0           
1685.029            4.076632            3.81945             5.53737             12346220.0           
1690.011            4.076632            3.81945             5.53737             11988350.0           
1695.026            4.076632            3.81945             5.53737             11890120.0           
1700.008            4.076632            3.81945             5.53737             11902490.0           
1705.023            4.076632            3.81945             5.53737             11912220.0           
1710.004            4.076632            3.81945             5.53737             11937290.0           
1715.019            4.076632            3.81945             5.53737             11966570.0           
1720.0              4.076632            3.81945             5.53737             11998330.0           
1725.015            4.076632            3.81945             5.53737             12020010.0           
1730.03             4.076632            3.81945             5.53737             12035080.0           
1735.011            4.076632            3.81945             5.53737             12049440.0           
1740.026            4.076632            3.81945             5.53737             12064570.0           
1745.007            4.076632            3.81945             5.53737             12079220.0           
1750.022            4.076632            3.81945             5.53737             12094490.0           
1755.003            4.076632            3.81945             5.53737             12109900.0           
1760.017            4.076632            3.81945             5.53737             12126000.0           
1765.032            4.076632            3.81945             5.53737             12142710.0           
1770.013            4.076632            3.81945             5.53737             12160030.0           
1775.028            4.076632            3.81945             5.53737             12178710.0           
1780.009            4.076632            3.81945             5.53737             12197790.0           
1785.023            4.076632            3.81945             5.53737             12217380.0           
1790.004            4.076632            3.81945             5.53737             12237560.0           
1795.019            4.076632            3.81945             5.53737             12258540.0           
1800.034            4.076632            3.81945             5.53737             12280110.0           
1805.014            4.076632            3.81945             5.53737             12302590.0           
1810.029            4.076632            3.81945             5.53737             12326010.0           
1815.01             4.076632            3.81945             5.53737             12349700.0           
1820.024            4.076632            3.81945             5.53737             12374130.0           
1825.005            4.076632            3.81945             5.53737             12398960.0           
1830.02             4.076632            3.81945             5.53737             12424580.0           
1835.0              4.076632            3.81945             5.53737             12451090.0           
1840.015            4.076632            3.81945             5.53737             12478290.0           
1845.03             4.076632            3.81945             5.53737             12505670.0           
1850.013            4.076632            3.81945             5.53737             12296080.0           
1855.029            4.076632            3.81945             5.53737             11953220.0           
1860.01             4.076632            3.81945             5.53737             11866360.0           
1865.026            4.076632            3.81945             5.53737             11875400.0           
1870.006            4.076632            3.81945             5.53737             11886900.0           
1875.022            4.076632            3.81945             5.53737             11912690.0           
1880.002            4.076632            3.81945             5.53737             11942700.0           
1885.018            4.076632            3.81945             5.53737             11975030.0           
1890.033            4.076632            3.81945             5.53737             12006650.0           
1895.014            4.076632            3.81945             5.53737             12026730.0           
1900.028            4.076632            3.81945             5.53737             12039970.0           
1905.009            4.076632            3.81945             5.53737             12054870.0           
1910.024            4.076632            3.81945             5.53737             12069180.0           
1915.005            4.076632            3.81945             5.53737             12083550.0           
1920.02             4.076632            3.81945             5.53737             12098380.0           
1925.001            4.076632            3.81945             5.53737             12113560.0           
1930.016            4.076632            3.81945             5.53737             12129400.0           
1935.03             4.076632            3.81945             5.53737             12145990.0           
1940.011            4.076632            3.81945             5.53737             12163560.0           
1945.026            4.076632            3.81945             5.53737             12181690.0           
1950.007            4.076632            3.81945             5.53737             12200270.0           
1955.021            4.076632            3.81945             5.53737             12219550.0           
1960.002            4.076632            3.81945             5.53737             12239240.0           
1965.017            4.076632            3.81945             5.53737             12259770.0           
1970.032            4.076632            3.81945             5.53737             12281390.0           
1975.012            4.076632            3.81945             5.53737             12303530.0           
1980.027            4.076632            3.81945             5.53737             12326200.0           
1985.008            4.076632            3.81945             5.53737             12349220.0           
1990.022            4.076632            3.81945             5.53737             12372950.0           
1995.003            4.076632            3.81945             5.53737             12397540.0           
2000.017            4.076632            3.81945             5.53737             12422920.0           
