time-0              cntrlvar-21         cntrlvar-22         cntrlvar-23         cntrlvar-150        cntrlvar-176        cntrlvar-276        rktpow-0            cntrlvar-833        pmpvel-113          pmpvel-209          httemp-336000117    httemp-336000217    httemp-336000317    httemp-336000417    httemp-336000517    httemp-336000617    httemp-336000717    httemp-336000817    httemp-336000917    httemp-336001017    httemp-336001117    httemp-336001217    p-150010000         p-180010000         p-280010000         tempf-330010000     tempf-340010000     tempg-330010000     tempf-100010000     tempf-270060000     tempf-114010000     tempf-210010000     mflowj-100010000    mflowj-200010000    mflowj-181000000    mflowj-281000000    mflowj-183000000    mflowj-283000000    mflowj-473000000    mflowj-475000000    mflowj-506000000    mflowj-507000000    mflowj-508000000    mflowj-509000000    mflowj-155000000    mflowj-157000000    mflowj-187000000    mflowj-287000000    mflowj-196000000    mflowj-198000000    mflowj-296000000    mflowj-298000000    acvliq-190          acvliq-290          cntrlvar-500        cntrlvar-502        cntrlvar-504         
25165.06            4.076397            2.759247            5.537362            7.455731e-05        3.798365            3.688432            26855450.0          0.0                 0.0                 0.0                 477.967             478.8661            481.2056            482.4612            483.7967            485.064             486.2914            487.5412            488.0567            489.1125            487.7574            488.0049            2396437.0           1590832.0           1606538.0           474.6001            486.7908            495.9446            486.9413            474.7293            473.9195            476.7946            389.1024            124.7503            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 1.170729            0.3870659           0.0                 0.0                 0.0                 0.0                 0.0                 5.761869            0.0                 0.0                 0.0                 0.0                 39.19933            12.9915             0.0                 2.247939            1.557795             
25170.06            4.076404            2.759297            5.53735             7.222201e-05        3.797863            3.708819            26853950.0          0.0                 0.0                 0.0                 477.898             478.8005            481.1481            482.4087            483.7492            485.0209            486.2521            487.5051            488.0211            489.0785            487.7177            487.9641            2396408.0           1598207.0           1602272.0           474.5223            486.7425            495.9452            486.8893            474.6013            473.8787            476.8647            388.3643            123.7216            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 1.170768            0.3866532           0.0                 0.0                 0.0                 0.0                 0.0                 5.749901            0.0                 0.0                 0.0                 0.0                 39.19212            12.9891             0.0                 1.034989            1.557421             
25175.06            4.076411            2.75908             5.537341            7.057947e-05        3.797279            3.724266            26852440.0          0.0                 0.0                 0.0                 477.8329            478.7374            481.0929            482.358             483.7035            484.9798            486.2151            487.472             487.9888            489.0484            487.6814            487.9268            2396229.0           1605333.0           1596831.0           474.4506            486.6967            495.9391            486.8387            474.4377            473.8534            476.9185            387.2625            122.5972            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 1.170719            0.386272            0.0                 0.0                 0.0                 0.0                 0.0                 5.733901            0.0                 0.0                 0.0                 0.0                 39.18958            12.98823            0.0                 1.75524             1.556991             
25180.06            4.076418            2.759036            5.537336            6.821483e-05        3.796772            3.726893            26850940.0          0.0                 0.0                 0.0                 477.7716            478.6766            481.0386            482.3075            483.6574            484.938             486.1777            487.4387            487.9569            489.0192            487.647             487.8918            2396259.0           1612217.0           1592086.0           474.3863            486.6537            495.9379            486.7898            474.2946            473.8447            476.9563            386.0936            121.5766            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 1.170713            0.3860287           0.0                 0.0                 0.0                 0.0                 0.0                 5.721099            0.0                 0.0                 0.0                 0.0                 39.1839             12.98632            0.0                 1.626941            1.556741             
25185.06            4.076427            2.758891            5.537334            6.599712e-05        3.796263            3.754446            26849440.0          0.0                 0.0                 0.0                 477.7188            478.6231            480.9915            482.2631            483.6166            484.9011            486.1447            487.4097            487.9291            488.9944            487.6157            487.86              2396119.0           1618880.0           1588423.0           474.3302            486.613             495.9339            486.743             474.1839            473.8526            476.9784            384.9117            120.6041            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 1.170661            0.3858493           0.0                 0.0                 0.0                 0.0                 0.0                 5.711459            0.0                 0.0                 0.0                 0.0                 39.18191            12.98563            0.0                 1.243056            1.55651              
25190.06            4.076435            2.758802            5.537334            6.378617e-05        3.792903            3.777731            26847940.0          0.0                 0.0                 0.0                 477.6714            478.5741            480.9472            482.2207            483.577             484.8646            486.1115            487.3803            487.901             488.9694            487.5853            487.8294            2396140.0           1625243.0           1583494.0           474.2823            486.5746            495.9316            486.6981            474.0347            473.8766            476.9859            383.6535            119.6532            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 1.170616            0.385771            0.0                 0.0                 0.0                 0.0                 0.0                 5.696481            0.0                 0.0                 0.0                 0.0                 39.17827            12.98445            0.0                 1.689502            1.556387             
25195.06            4.076443            2.758814            5.537335            6.126178e-05        3.799459            3.777153            26846440.0          0.0                 0.0                 0.0                 477.6337            478.5341            480.9121            482.1866            483.5449            484.8348            486.0844            487.3563            487.8775            488.9487            487.5578            487.8018            2396050.0           1630666.0           1578807.0           474.2423            486.5383            495.9317            486.6555            473.8925            473.9156            476.9801            381.0955            118.8775            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 1.170587            0.3857919           0.0                 0.0                 0.0                 0.0                 0.0                 5.683241            0.0                 0.0                 0.0                 0.0                 39.17597            12.98367            0.0                 0.2508191           1.556378             
25200.06            4.07645             2.758828            5.537337            5.91821e-05         3.792948            3.791642            26844940.0          0.0                 0.0                 0.0                 477.6011            478.4992            480.8807            482.1558            483.5154            484.8068            486.0584            487.3329            487.8544            488.928             487.5317            487.7751            2396010.0           1636316.0           1575431.0           474.2097            486.5042            495.9321            486.6153            473.7898            473.9682            476.9623            379.5802            118.0407            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 1.17055             0.3858885           0.0                 0.0                 0.0                 0.0                 0.0                 5.674371            0.0                 0.0                 0.0                 0.0                 39.17347            12.98282            0.0                 1.05212             1.556438             
25205.06            4.076458            2.758703            5.537338            5.916754e-05        3.777528            3.762227            26843440.0          0.0                 0.0                 0.0                 477.576             478.4716            480.8566            482.1318            483.4922            484.7847            486.0376            487.314             487.8353            488.9108            487.5084            487.751             2395526.0           1642076.0           1571093.0           474.1841            486.4722            495.9288            486.5776            473.6576            474.0328            476.9338            379.8246            117.252             0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 1.170462            0.386012            0.0                 0.0                 0.0                 0.0                 0.0                 5.660594            0.0                 0.0                 0.0                 0.0                 39.17154            12.98216            0.0                 1.838693            1.556473             
25210.06            4.076466            2.758846            5.53734             5.80147e-05         3.799639            3.742138            26841940.0          0.0                 0.0                 0.0                 477.558             478.451             480.8393            482.1143            483.4752            484.7683            486.022             487.2997            487.8203            488.8972            487.4882            487.7301            2395547.0           1647189.0           1566457.0           474.1652            486.4426            495.9324            486.5424            473.5161            474.108             476.8961            377.9058            116.7025            0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 1.170442            0.3862538           0.0                 0.0                 0.0                 0.0                 0.0                 5.646599            0.0                 0.0                 0.0                 0.0                 39.16622            12.98041            0.0                 0.0                 1.556696             
